latitude,longitude,magnitude,deaths,affected,damages,type,risk
40.987,44.185,7.0,25000.0,1642000.0,14000000.0,Earthquake,1
41.246,19.63,6.0,,690.0,,Earthquake,0
36.788,2.448,6.0,22.0,12184.0,,Earthquake,1
-32.967,151.619,5.0,12.0,2115.0,1000000.0,Earthquake,1
21.861,89.763,5.0,1.0,100.0,,Earthquake,0
29.987,99.195,6.0,8.0,40107.0,164000.0,Earthquake,1
39.893,113.884,5.0,29.0,105140.0,,Earthquake,1
23.553,99.526,6.0,1.0,26591.0,54000.0,Earthquake,1
29.882,106.804,5.0,4.0,52800.0,,Earthquake,1
31.583,102.433,6.0,,21404.0,,Earthquake,1
45.841,26.668,7.0,1.0,,,Earthquake,0
6.47,-71.21,6.0,2.0,3071.0,,Earthquake,1
-4.511,139.022,6.0,120.0,17196.0,,Earthquake,1
1.031,126.189,5.0,,5500.0,,Earthquake,1
-8.081,125.129,6.0,,197.0,,Earthquake,0
30.167,50.921,6.0,100.0,217.0,,Earthquake,1
16.773,-99.328,7.0,3.0,350.0,,Earthquake,0
36.961,49.414,7.0,40000.0,710000.0,8000000.0,Earthquake,1
9.725,124.625,7.0,1.0,34504.0,900.0,Earthquake,1
-6.016,-77.229,7.0,200.0,100800.0,1000.0,Earthquake,1
1.186,122.857,8.0,5.0,7036.0,,Earthquake,1
11.76,121.899,7.0,4.0,15.0,,Earthquake,0
45.841,26.668,7.0,9.0,700.0,,Earthquake,0
38.993,70.423,6.0,300.0,204794.0,10000.0,Earthquake,1
-10.199,160.855,7.0,1.0,500.0,,Earthquake,0
38.465,68.694,5.0,274.0,12051.0,24800.0,Earthquake,1
37.036,-121.88,7.0,62.0,3757.0,5600000.0,Earthquake,1
19.362,-155.083,6.0,5.0,315.0,,Earthquake,0
11.038,-68.27,5.0,,2000.0,,Earthquake,1
45.841,26.668,7.0,4.0,,,Earthquake,0
47.892,85.12,7.0,1.0,20000.0,,Earthquake,1
47.949,84.958,6.0,,1508.0,,Earthquake,1
40.854,73.553,5.0,,3000.0,,Earthquake,1
42.15,42.44,7.0,270.0,251500.0,1700000.0,Earthquake,1
35.883,70.423,7.0,3.0,,,Earthquake,0
60.7,167.2,7.0,,,,Earthquake,0
37.457,68.273,5.0,1.0,5000.0,,Earthquake,1
33.961,-116.32,6.0,,32.0,100000.0,Earthquake,0
42.314,-122.01,6.0,2.0,3000.0,7500.0,Earthquake,1
-30.933,-71.22,7.0,8.0,53098.0,48000.0,Earthquake,1
41.101,45.14,4.0,,15000.0,33333.0,Earthquake,1
